"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"47",1507,60,"RL",80,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",1137,"Unf",0,143,1280,"GasA","Ex","Y","SBrkr",1280,1215,0,2495,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"Unf",2,660,"TA","TA","Y",224,32,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal"
"79",1539,70,"RM",50,9000,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1890,2002,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","Stone","Fa","Fa","No","Unf",0,"Unf",0,346,346,"GasA","Ex","Y","SBrkr",1157,1111,0,2268,0,0,3,0,3,1,"Gd",7,"Typ",0,NA,"Detchd",2003,"Unf",2,624,"TA","TA","N",0,108,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"80",1540,190,"RM",100,9045,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",5,3,1910,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","BrkTil","TA","TA","Mn","Unf",0,"Unf",0,840,840,"Grav","Fa","N","FuseF",1128,1128,0,2256,0,0,2,0,4,2,"Fa",12,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,18,18,0,0,0,NA,NA,NA,0,6,2010,"WD","Abnorml"
"93",1553,70,"RM",60,12900,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1912,2009,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","TA","TA","No","Unf",0,"Unf",0,780,780,"GasA","Ex","Y","SBrkr",780,780,0,1560,0,0,1,1,3,1,"Gd",7,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",344,0,0,0,168,0,NA,NA,NA,0,5,2010,"WD","Normal"
"94",1554,70,"RM",52,3068,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1920,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,662,662,"GasA","Ex","Y","SBrkr",662,662,0,1324,0,1,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,180,"TA","TA","Y",0,0,112,0,0,0,NA,"GdPrv",NA,0,2,2010,"WD","Normal"
"99",1559,70,"C (all)",NA,6449,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","2Story",4,1,1907,1950,"Gambrel","CompShg","Wd Sdng","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","Rec",73,"Unf",0,634,707,"GasW","TA","N","SBrkr",942,942,0,1884,0,0,1,1,4,1,"TA",7,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,0,239,0,0,0,NA,NA,NA,0,3,2010,"WD","Abnorml"
"105",1565,60,"RL",86,11227,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","2Story",5,5,1968,1968,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","Gd","No","Rec",267,"ALQ",453,0,720,"GasA","Ex","Y","SBrkr",720,720,0,1440,0,0,1,1,4,1,"TA",7,"Typ",2,"TA","Attchd",1968,"Unf",2,480,"TA","TA","Y",192,38,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD","Normal"
"124",1584,60,"RL",75,9375,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1040,1040,"GasA","Ex","Y","SBrkr",1044,1054,0,2098,0,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1997,"Fin",2,621,"TA","TA","Y",331,38,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"137",1597,90,"RL",78,15600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","Duplex","2Story",5,6,1950,1991,"Gable","CompShg","VinylSd","VinylSd","BrkFace",430,"TA","Gd","CBlock","TA","TA","No","ALQ",375,"Unf",0,657,1032,"GasA","Ex","Y","SBrkr",1102,1075,0,2177,0,0,2,1,5,2,"TA",11,"Typ",0,NA,"Detchd",1950,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal"
"150",1610,60,"RL",73,9802,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story",5,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"GasA","Gd","Y","SBrkr",744,700,0,1444,0,0,2,1,3,1,"TA",7,"Typ",0,NA,"BuiltIn",2007,"Fin",2,400,"TA","TA","Y",100,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"155",1615,160,"RM",21,1476,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","2Story",4,7,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",176,"Unf",0,370,546,"GasA","Ex","Y","SBrkr",546,546,0,1092,0,0,1,1,3,1,"TA",5,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",200,26,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal"
"156",1616,160,"RM",21,1900,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",4,4,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,546,546,"GasA","Ex","Y","SBrkr",546,546,0,1092,0,0,1,1,3,1,"TA",5,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal"
"157",1617,160,"RM",21,1890,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story",4,6,1972,1972,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",294,"Unf",0,252,546,"GasA","TA","Y","SBrkr",546,546,0,1092,0,0,1,1,3,1,"TA",5,"Typ",0,NA,"Attchd",1972,"Unf",1,286,"TA","TA","Y",0,0,64,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal"
"160",1620,90,"RL",70,7700,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","Duplex","2Story",5,2,1985,1986,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Po","PConc","TA","TA","No","Unf",0,"Unf",0,1216,1216,"GasA","Gd","Y","SBrkr",1216,1216,0,2432,0,0,4,2,4,2,"TA",10,"Typ",0,NA,"Attchd",1985,"Unf",2,616,"TA","Fa","Y",200,0,0,0,0,0,NA,NA,"Shed",600,2,2010,"WD","Normal"
"161",1621,60,"RL",63,10475,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","2Story",5,5,1991,1991,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Rec",458,"Unf",0,166,624,"GasA","Gd","Y","SBrkr",624,650,0,1274,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1993,"Unf",2,576,"TA","TA","Y",22,0,0,0,0,0,NA,"GdWo",NA,0,3,2010,"WD","Normal"
"177",1637,60,"RL",85,11900,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,6,1977,1977,"Gable","CompShg","HdBoard","Wd Sdng","BrkFace",157,"TA","TA","PConc","Gd","TA","No","ALQ",400,"Unf",0,722,1122,"GasA","Ex","Y","SBrkr",946,988,0,1934,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1977,"Unf",2,567,"TA","TA","P",0,176,0,0,200,0,NA,NA,NA,0,7,2009,"WD","Normal"
"192",1652,160,"RM",21,1680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1973,1973,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"TA","TA","CBlock","TA","TA","No","BLQ",254,"Unf",0,229,483,"GasA","TA","Y","SBrkr",483,504,0,987,1,0,1,1,2,1,"TA",5,"Typ",0,NA,"Detchd",1973,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"193",1653,160,"RM",21,1680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,6,1972,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",425,"TA","TA","CBlock","TA","TA","No","Rec",110,"LwQ",294,79,483,"GasA","TA","Y","SBrkr",483,504,0,987,1,0,1,1,2,1,"TA",5,"Typ",0,NA,"Detchd",1972,"Unf",1,288,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"194",1654,160,"RL",24,2308,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","TwnhsE","2Story",6,5,1976,1976,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",306,"Unf",0,498,804,"GasA","TA","Y","SBrkr",804,744,0,1548,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Detchd",1976,"RFn",2,440,"TA","TA","Y",108,0,0,0,0,0,NA,NA,NA,0,9,2009,"WD","Normal"
"197",1657,160,"RL",24,2364,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","2Story",6,5,1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",320,"Unf",0,484,804,"GasA","TA","Y","SBrkr",804,744,0,1548,0,1,2,1,3,1,"TA",7,"Typ",1,"TA","Detchd",1978,"Unf",2,440,"TA","TA","Y",108,0,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"202",1662,60,"RL",95,12350,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",986,"Unf",0,379,1365,"GasA","Ex","Y","SBrkr",1365,1325,0,2690,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",2009,"RFn",3,864,"TA","TA","Y",0,197,0,0,0,0,NA,NA,NA,0,7,2009,"New","Partial"
"224",1684,60,"RL",63,10928,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Gd","No","Unf",0,"Unf",0,728,728,"GasA","Ex","Y","SBrkr",728,728,0,1456,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",2,390,"TA","TA","Y",100,0,0,0,0,0,NA,NA,NA,0,6,2009,"WD","Normal"
"225",1685,60,"RL",57,8918,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,745,745,"GasA","Ex","Y","SBrkr",745,745,0,1490,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Fin",2,392,"TA","TA","Y",36,20,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"231",1691,60,"RL",NA,8174,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",494,"Unf",0,204,698,"GasA","Ex","Y","SBrkr",698,644,0,1342,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2003,"Fin",2,393,"TA","TA","Y",100,56,0,0,0,0,NA,NA,NA,0,5,2009,"WD","Normal"
"251",1711,60,"FV",84,10603,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","Stone",121,"Gd","TA","PConc","Ex","Gd","No","GLQ",682,"Unf",0,218,900,"GasA","Ex","Y","SBrkr",909,886,0,1795,1,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2006,"Fin",3,782,"TA","TA","Y",168,45,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"255",1715,60,"FV",65,8127,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",410,"Unf",0,402,812,"GasA","Ex","Y","SBrkr",812,841,0,1653,1,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",2003,"RFn",2,628,"TA","TA","Y",0,45,0,0,0,0,NA,NA,NA,0,3,2009,"WD","Normal"
"259",1719,60,"RL",96,10628,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Gd","Unf",0,"Unf",0,835,835,"GasA","Ex","Y","SBrkr",871,941,0,1812,0,0,2,1,3,1,"Gd",8,"Typ",0,NA,"BuiltIn",2004,"RFn",2,478,"TA","TA","Y",146,91,0,0,0,0,NA,NA,NA,0,1,2009,"WD","Normal"
"266",1726,60,"RL",70,7703,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","Gd","PConc","Gd","Gd","No","GLQ",52,"Rec",364,400,816,"GasA","Ex","Y","SBrkr",833,897,0,1730,0,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1992,"RFn",2,528,"TA","TA","Y",0,91,0,0,168,0,NA,NA,NA,0,11,2009,"WD","Normal"
"268",1728,60,"RL",70,9109,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","2Story",7,5,1994,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","LwQ",36,"GLQ",596,122,754,"GasA","Ex","Y","SBrkr",754,786,0,1540,1,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1994,"RFn",2,495,"TA","TA","Y",140,32,0,0,0,0,NA,NA,NA,0,10,2009,"WD","Normal"
"269",1729,60,"RL",NA,10274,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,7,1986,1986,"Gable","CompShg","VinylSd","VinylSd","BrkFace",141,"TA","Gd","CBlock","Gd","TA","No","Rec",331,"Unf",0,345,676,"GasA","TA","Y","SBrkr",698,702,0,1400,0,0,2,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1986,"RFn",2,465,"TA","TA","Y",0,48,0,0,0,0,NA,NA,NA,0,7,2009,"WD","Normal"
"270",1730,90,"RL",75,8250,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","Duplex","2Story",6,7,1981,1981,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",964,918,0,1882,0,0,2,0,4,2,"TA",8,"Typ",2,"TA","Attchd",1981,"Unf",2,612,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,5,2009,"WD","Normal"
"282",1742,160,"FV",34,2998,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",513,"Gd","TA","PConc","Gd","TA","No","GLQ",507,"Unf",0,249,756,"GasA","Ex","Y","SBrkr",756,756,0,1512,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2000,"Unf",2,440,"TA","TA","Y",0,32,0,0,0,0,NA,NA,NA,0,8,2009,"WD","Normal"
"283",1743,160,"FV",35,3768,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,1999,1999,"Hip","CompShg","MetalSd","MetalSd","BrkFace",218,"Gd","TA","PConc","Gd","TA","No","GLQ",549,"Unf",0,142,691,"GasA","Ex","Y","SBrkr",713,739,0,1452,1,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",1999,"Unf",2,506,"TA","TA","Y",0,34,0,0,0,0,NA,NA,NA,0,9,2009,"WD","Normal"
"288",1748,60,"RL",80,10400,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","PosA","Norm","1Fam","2Story",6,7,1967,1997,"Gable","CompShg","MetalSd","MetalSd","BrkFace",256,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,932,932,"GasA","Gd","Y","SBrkr",1271,1369,0,2640,0,0,2,1,5,1,"Gd",8,"Typ",1,"TA","Attchd",1967,"RFn",2,515,"TA","TA","Y",0,120,0,0,168,0,NA,NA,NA,0,5,2009,"WD","Normal"
"320",1780,60,"RL",78,11419,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","2Story",7,7,1948,1999,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","Mn","ALQ",699,"Unf",0,0,699,"GasA","Ex","Y","FuseA",801,726,0,1527,1,0,1,1,3,1,"TA",6,"Typ",1,"Gd","Attchd",1948,"Unf",2,410,"TA","TA","Y",0,0,134,0,0,0,NA,"GdWo",NA,0,12,2009,"WD","Normal"
"323",1783,60,"RL",60,10800,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,7,1939,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,676,676,"GasA","Ex","Y","SBrkr",676,676,0,1352,0,1,2,0,4,1,"Gd",7,"Typ",0,NA,"Detchd",1939,"Unf",2,720,"TA","TA","Y",187,0,128,0,0,0,NA,NA,NA,0,8,2009,"WD","Normal"
"331",1791,90,"RL",81,9671,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","Duplex","2Story",6,5,1969,1969,"Gable","CompShg","MetalSd","MetalSd","Stone",480,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1248,1248,"GasA","TA","Y","SBrkr",1248,1296,0,2544,0,0,2,2,6,2,"TA",12,"Typ",0,NA,"Attchd",1969,"RFn",3,907,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,8,2009,"WD","Normal"
